oecd_names,1.1 Mathematics,1.2 Computer and information sciences,1.3 Physical sciences,1.4 Chemical sciences,1.5 Earth and related environmental sciences,1.6 Biological sciences,1.7 Other Natural sciences,2.1 Civil engineering,2.2 Electrical engineering; electronic engineering; information engineering,2.3 Mechanical engineering,2.4 Chemical engineering,2.5 Materials engineering,2.6 Medical engineering,2.7 Environmental engineering,2.8 Environmental biotechnology,2.9 Industrial Biotechnology,2.11 Other engineering and technologies,3.1 Basic medicine,3.2 Clinical medicine,3.3 Health sciences,4.1 Agriculture forestry and fisheries,4.2 Animal and dairy science,4.3 Veterinary science,4.5 Other agricultural sciences,5.1 Psychology,5.2 Economics and business,5.3 Educational sciences,5.4 Sociology,5.5 Law,5.6 Political Science,5.7 Social and economic geography,5.8 Media and communications,5.9 Other social sciences,6.1 History and archaeology,6.2 Languages and literature,6.3 Philosophy ethics and religion,6.4 Arts and music,6.5 Other humanities
5.1 Psychology,0.500943121,0.440808859,0.467861086,0.513535999,0.402581335,0.412863429,0.345530339,0.374615877,0.455544972,0.419320182,0.476619532,0.504632778,0.362231701,0.396789827,0.491525028,0.557439245,0.386986263,0.364471498,0.359845326,0.210356802,0.448212511,0.471812374,0.386186715,0.425051959,0,0.307137755,0.309239446,0.172036916,0.350590894,0.411730355,0.360228881,0.402172663,0.250148143,0.389720947,0.259526279,0.403726855,0.383164987,0.387628342
5.2 Economics and business,0.392664237,0.296560399,0.448133268,0.531344207,0.37896064,0.495567454,0.435182177,0.278625534,0.347968461,0.358126718,0.429972399,0.507691891,0.444411412,0.317198036,0.536183428,0.601719285,0.321699571,0.520650266,0.527810101,0.369133243,0.463614347,0.548574888,0.508899388,0.448843904,0.307137755,0,0.435094672,0.242887889,0.332085561,0.260831307,0.173105734,0.313926201,0.247395375,0.355962123,0.417324069,0.385901721,0.405671612,0.393460915
5.3 Educational sciences,0.612225367,0.526363275,0.637365648,0.661547613,0.591123808,0.622493941,0.576155379,0.527088062,0.582060822,0.581950856,0.628816569,0.659796327,0.567877715,0.56036085,0.65087113,0.693605276,0.543952561,0.608411922,0.555312982,0.402015582,0.621960251,0.661440216,0.594328125,0.607946596,0.309239446,0.435094672,0,0.30724821,0.462054796,0.474727993,0.43185117,0.379349435,0.37189877,0.474957928,0.412417026,0.474818921,0.43876525,0.475935709
5.4 Sociology,0.511632439,0.441844496,0.516176762,0.563671759,0.425044107,0.47388859,0.413265352,0.40644917,0.482733988,0.470599508,0.534217292,0.565578953,0.436632707,0.427904974,0.545916289,0.620247245,0.422351811,0.484906405,0.425901541,0.213621406,0.496806535,0.563958903,0.462837527,0.49283253,0.172036916,0.242887889,0.30724821,0,0.22613012,0.238669774,0.192198517,0.334423842,0.207810621,0.214298862,0.261511593,0.274127427,0.30334925,0.231717004
5.5 Law,0.574657159,0.51865824,0.577351798,0.634027639,0.532415647,0.574759813,0.521325205,0.499653308,0.547708918,0.547778402,0.610071506,0.634800197,0.54279564,0.514805354,0.632533769,0.682106745,0.509465129,0.576126533,0.549745948,0.393720455,0.591581813,0.655720214,0.560643065,0.583724294,0.350590894,0.332085561,0.462054796,0.22613012,0,0.237596578,0.296958838,0.431771186,0.351034997,0.299256652,0.384426497,0.323853141,0.407780925,0.323869328
5.6 Political Science,0.57512569,0.500981966,0.569847081,0.638501177,0.517671587,0.587243826,0.541821348,0.485523904,0.533129929,0.540896137,0.601213474,0.635335211,0.58185703,0.498242164,0.640806479,0.700158372,0.507273126,0.615353898,0.622403942,0.470988357,0.591963517,0.66864604,0.603691055,0.5957987,0.411730355,0.260831307,0.474727993,0.238669774,0.237596578,0,0.16572826,0.407558572,0.323558308,0.23891249,0.402155804,0.32393733,0.390930799,0.2773451
5.7 Social and economic geography,0.493161475,0.391002549,0.486438452,0.56208079,0.358977701,0.493186549,0.444915598,0.340880042,0.42583943,0.427724757,0.49750233,0.54640089,0.496135579,0.341534472,0.552890057,0.628936816,0.381625934,0.552179527,0.566983027,0.395258915,0.463377058,0.601952971,0.532602023,0.49527819,0.360228881,0.173105734,0.43185117,0.192198517,0.296958838,0.16572826,0,0.335305238,0.238640207,0.214337799,0.368480175,0.326670407,0.31709826,0.259261859
5.8 Media and communications,0.535034951,0.343303988,0.585793671,0.632561808,0.538225139,0.606516587,0.553575051,0.432033494,0.449356105,0.507848307,0.580352882,0.627910851,0.550608073,0.477762826,0.620777435,0.677063764,0.448021498,0.622445327,0.592415026,0.445201292,0.597832403,0.673737018,0.609377418,0.587141238,0.402172663,0.313926201,0.379349435,0.334423842,0.431771186,0.407558572,0.335305238,0,0.347907157,0.425620205,0.45607999,0.448362181,0.433328343,0.436779136
5.9 Other social sciences,0.538663083,0.458881979,0.533551189,0.577331344,0.448613461,0.512398284,0.46315479,0.404601599,0.492390597,0.477826105,0.536991408,0.571416196,0.479880693,0.433779214,0.564503445,0.626223355,0.434678455,0.524491946,0.520064189,0.344291082,0.52056503,0.590627369,0.50795481,0.500474733,0.250148143,0.247395375,0.37189877,0.207810621,0.351034997,0.323558308,0.238640207,0.347907157,0,0.311489958,0.33129834,0.350119757,0.334031345,0.308489626
6.1 History and archaeology,0.558637824,0.497061574,0.543023446,0.597482939,0.431945867,0.518953829,0.480259197,0.481967955,0.529787509,0.523296097,0.59462759,0.603114896,0.531023563,0.469293444,0.591913002,0.660706299,0.465950288,0.588166657,0.587433855,0.440970406,0.550268586,0.652558278,0.540115745,0.563097231,0.389720947,0.355962123,0.474957928,0.214298862,0.299256652,0.23891249,0.214337799,0.425620205,0.311489958,0,0.238079122,0.194868952,0.211076588,0.075870052
6.2 Languages and literature,0.563399966,0.494808954,0.556412779,0.596847167,0.512578442,0.538184421,0.491241516,0.504324427,0.532347176,0.531676857,0.596846655,0.609341415,0.518548149,0.509572966,0.594420376,0.655459878,0.483251591,0.555645783,0.544989789,0.424607784,0.583402757,0.640965466,0.541446263,0.570235104,0.259526279,0.417324069,0.412417026,0.261511593,0.384426497,0.402155804,0.368480175,0.45607999,0.33129834,0.238079122,0,0.268214949,0.251797738,0.153130962
6.3 Philosophy ethics and religion,0.549873373,0.495282343,0.600382258,0.657729106,0.577268477,0.610821192,0.56363512,0.541089397,0.559099337,0.572617379,0.653421438,0.669559793,0.598242002,0.558399612,0.662627318,0.71481182,0.526950959,0.640066893,0.633748777,0.508826269,0.653396825,0.724314945,0.626453207,0.640760435,0.403726855,0.385901721,0.474818921,0.274127427,0.323853141,0.32393733,0.326670407,0.448362181,0.350119757,0.194868952,0.268214949,0,0.30272349,0.161287846
6.4 Arts and music,0.560733365,0.474057247,0.543930162,0.594230628,0.497403342,0.56892702,0.52380839,0.454636945,0.493781125,0.503427732,0.577199367,0.586490959,0.544326364,0.468901773,0.611447967,0.648337374,0.44827945,0.612166297,0.61169677,0.477492425,0.590345986,0.666414714,0.579523602,0.576774359,0.383164987,0.405671612,0.43876525,0.30334925,0.407780925,0.390930799,0.31709826,0.433328343,0.334031345,0.211076588,0.251797738,0.30272349,0,0.145438615
6.5 Other humanities,0.572953799,0.507151482,0.567389752,0.618980174,0.507842547,0.558551265,0.51839744,0.517467096,0.542295942,0.549542234,0.620273259,0.625071695,0.56067131,0.5136151,0.617034904,0.675216703,0.492398316,0.613056992,0.61678677,0.479731146,0.602150682,0.685467302,0.577584277,0.596692317,0.387628342,0.393460915,0.475935709,0.231717004,0.323869328,0.2773451,0.259261859,0.436779136,0.308489626,0.075870052,0.153130962,0.161287846,0.145438615,0
